"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57562650";"01";"26206";"";"";"43440";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 2";"2015";"2";"2015-07-27";"2015-12-19";"35T23";"";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562650";"01";"2296724";"";"";"43440";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 2";"2015";"2";"2015-07-27";"2015-12-19";"35T23";"";"20";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57562651";"01";"2296724";"";"";"2054970";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 2";"2015";"2";"2015-07-27";"2015-12-19";"24N12";"14";"20";"REGULAR";"f";"2015-12-19 22:59:08.207";"f";"";"74";"CONSOLIDADA";"";"Presencial";
"57562652";"01";"63227";"";"";"2055017";"GRADUAÇÃO";"Campus Central";"Laboratório de Engenharia Têxtil - Sala 2";"2015";"2";"2015-07-27";"2015-12-19";"24T34";"5";"20";"REGULAR";"f";"2015-12-18 15:34:52.509";"f";"";"70";"CONSOLIDADA";"";"Presencial";
"57562653";"01";"63227";"";"";"2055022";"GRADUAÇÃO";"Campus Central";"4G4";"2015";"2";"2015-07-27";"2015-12-19";"24N12";"3";"20";"REGULAR";"f";"2015-12-18 15:36:14.339";"f";"";"68";"CONSOLIDADA";"";"Presencial";
"57562654";"01";"5754639";"";"";"2055016";"GRADUAÇÃO";"Campus Central";"4B3";"2015";"2";"2015-07-27";"2015-12-19";"24T34";"18";"20";"REGULAR";"f";"2015-12-18 20:51:41.732";"f";"";"74";"CONSOLIDADA";"";"Presencial";
"57562655";"01";"5755981";"";"";"43377";"GRADUAÇÃO";"Campus Central";"4B5";"2015";"2";"2015-07-27";"2015-12-19";"35N123";"5";"20";"REGULAR";"f";"2015-12-17 01:34:01.535";"f";"";"120";"CONSOLIDADA";"";"Presencial";
"57562656";"01";"5757183";"";"";"2055001";"GRADUAÇÃO";"Campus Central";"4B4";"2015";"2";"2015-07-27";"2015-12-19";"24N12";"9";"20";"REGULAR";"f";"2015-12-15 17:14:29.178";"f";"";"76";"CONSOLIDADA";"";"Presencial";
"57562657";"01";"5757183";"";"";"2055002";"GRADUAÇÃO";"Campus Central";"4F1";"2015";"2";"2015-07-27";"2015-12-19";"35T56";"15";"20";"REGULAR";"f";"2015-12-15 17:17:01.06";"f";"";"80";"CONSOLIDADA";"";"Presencial";
"57562657";"01";"5753872";"";"";"2055002";"GRADUAÇÃO";"Campus Central";"4F1";"2015";"2";"2015-07-27";"2015-12-19";"35T56";"15";"20";"REGULAR";"f";"2015-12-15 17:17:01.06";"f";"";"80";"CONSOLIDADA";"";"Presencial";
